
[Job Tracker] Initialized job: train-mountaincar-5005804f
[Job Tracker] Job directory: jobs/train-mountaincar-5005804f
[Job Tracker] Output log: jobs/train-mountaincar-5005804f/train.log

=== TRAINING MODE ===
Maximum generations: 200
Population size: 60
Mutation rate: 0.2
Crossover rate: 0.5
Generation interval: 0.5
Episodes per evaluation: 3
Parallel workers: 8
Training MountainCar agent with PyTorch + PyMOO
Generations: 200, Population: 60
Network architecture: 2 -> [16, 8] -> 1
==============================================================================================
n_gen  |  n_eval  |     f_avg     |     f_min     |  reward_max  |  reward_avg  | reward_best 
   190 |    11400 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   191 |    11460 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   192 |    11520 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   193 |    11580 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   194 |    11640 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   195 |    11700 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   196 |    11760 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   197 |    11820 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   198 |    11880 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   199 |    11940 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
   200 |    12000 |  1.123333E+02 |  1.123333E+02 |      -112.33 |      -112.33 |      -112.33
Model saved:
- PyTorch model: jobs/train-mountaincar-5005804f/mountaincar_best.pth
- Weights vector: jobs/train-mountaincar-5005804f/mountaincar_weights.npy
- Learning curve: jobs/train-mountaincar-5005804f/mountaincar_learning_curve.png

Training completed!
Best fitness: -112.33
Success threshold: -110
Training completed after 200 generations. Best fitness: -112.33

=== EVALUATING TRAINED AGENT ===
Testing trained agent without rendering:
Episode 1: reward = -164.0
Episode 2: reward = -164.0
Episode 3: reward = -91.0
Episode 4: reward = -87.0
Episode 5: reward = -166.0
Episode 6: reward = -85.0
Episode 7: reward = -91.0
Episode 8: reward = -129.0
Episode 9: reward = -85.0
Episode 10: reward = -85.0

Average reward over 10 episodes: -114.70
Standard deviation: 34.98

Not quite there yet. Average reward -114.70, threshold is -110
[Job Tracker] Promoted best artifacts to top-level: checkpoints/mountaincar_best.pth, checkpoints/mountaincar_weights.npy, checkpoints/mountaincar_learning_curve.png
Loaded PyTorch model from checkpoints/mountaincar_best.pth

=== RECORDING GIF ===
Recorded GIF (91 frames, reward=-90.00) -> assets/mountaincar.gif
